Id,price,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
2464,186,within an hour,0.86,0.88,f,2,f,-33.8851529,151.2022092,Apartment,Entire home/apt,4,2,2,3,Real Bed,4200,0,1,0,90,1125,1,100,10,10,10,10,8,10,t,strict_14_with_grace_period,f,f,0.07
2465,94,N/A,N/A,N/A,f,1,f,-34.01053966,151.0648876,House,Entire home/apt,4,1,2,2,Real Bed,,50,1,0,3,24,0,,,,,,,,f,flexible,f,f,
2466,401,N/A,N/A,N/A,f,1,f,-33.90805175,151.2367917,Apartment,Entire home/apt,6,1,2,4,Real Bed,,,1,0,14,35,0,,,,,,,,f,flexible,f,f,
2467,401,N/A,N/A,N/A,f,1,t,-33.79401841,151.2845801,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,,1,0,4,1125,11,96,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,0.17
2468,50,N/A,N/A,0,f,1,f,-33.89579094,151.2689804,Apartment,Private room,1,1,1,1,Real Bed,,,1,0,1,1125,1,,,,,,,,t,flexible,f,f,0.03
2469,150,N/A,N/A,N/A,f,1,t,-33.94440534,151.2588778,Apartment,Entire home/apt,4,1,2,2,Pull-out Sofa,,200,1,0,10,1125,0,,,,,,,,f,flexible,f,f,
2470,401,within a few hours,1,1,f,1,t,-33.89584631,151.2681331,Apartment,Entire home/apt,6,1,3,3,Real Bed,,150,1,0,4,31,3,93,9,9,9,10,9,10,t,strict_14_with_grace_period,f,f,1.18
2471,67,within a few hours,1,0.9,f,2,f,-33.92159838,151.2287789,Townhouse,Private room,1,1,1,1,Real Bed,,65,1,25,3,1125,47,95,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,0.99
2472,68,N/A,N/A,N/A,f,1,f,-33.89157841,151.1213894,House,Private room,2,1,1,1,Real Bed,,,1,0,1,1125,0,,,,,,,,f,flexible,f,f,
2473,111,N/A,N/A,N/A,f,1,t,-33.89828008,151.2652531,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,50,4,25,2,1125,2,100,10,10,10,10,10,10,t,flexible,f,f,0.06
2474,55,within an hour,1,1,f,2,f,-33.82684141,151.07825,Apartment,Private room,1,1.5,1,1,Real Bed,,,1,0,4,1125,0,,,,,,,,t,strict_14_with_grace_period,f,f,
2475,368,within an hour,1,1,t,7,t,-33.9579438,151.1161723,Bungalow,Entire home/apt,10,2,3,6,Real Bed,300,148,8,20,2,365,35,94,9,9,10,10,9,9,f,strict_14_with_grace_period,f,f,0.62
2476,250,within a few hours,1,0.86,f,1,f,-33.89313295,151.2705691,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,150,1,0,2,1125,2,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.86
2477,213,within an hour,1,1,f,50,f,-33.8772859,151.24104,Apartment,Entire home/apt,4,1,2,2,Real Bed,1000,150,1,0,90,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2478,220,within an hour,1,0.97,t,1,f,-33.64781923,151.3257245,Guest suite,Entire home/apt,2,1,1,1,Real Bed,,35,1,0,2,1125,36,98,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,1.01
2479,351,N/A,N/A,N/A,f,1,f,-33.9278161,151.2429952,House,Entire home/apt,6,1,3,3,Real Bed,500,,6,35,7,1125,2,100,9,9,10,10,8,8,f,strict_14_with_grace_period,f,f,0.04
2480,99,N/A,N/A,N/A,f,1,f,-33.87635756,151.2200176,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,5,20,0,,,,,,,,t,flexible,f,f,
2481,69,within a few hours,1,0.91,f,0,f,-33.89560184,151.2105195,House,Private room,1,1,1,1,Real Bed,500,25,1,0,2,7,8,100,10,10,10,10,10,10,f,moderate,f,f,1.32
2482,63,within an hour,1,1,f,1,t,-33.8866949,151.1808682,Apartment,Private room,1,1,0,1,Real Bed,,25,1,0,3,28,48,98,10,10,10,10,9,10,t,strict_14_with_grace_period,f,f,1.71
2483,200,N/A,N/A,N/A,f,1,f,-33.88479474,151.1739466,Apartment,Entire home/apt,4,1,2,2,Real Bed,400,80,1,0,20,30,4,85,9,8,10,10,10,9,f,flexible,f,f,0.08
2484,499,N/A,N/A,0,f,1,f,-33.63777721,151.3201902,House,Entire home/apt,9,2,3,3,Real Bed,500,150,1,0,7,14,5,96,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,0.13
2485,50,N/A,N/A,N/A,f,1,f,-33.89675062,151.271451,Apartment,Private room,1,1,1,1,Real Bed,,,1,0,2,1125,0,,,,,,,,t,flexible,f,f,
2486,94,a few days or more,0.4,0.38,f,1,t,-33.88879714,151.2606531,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,1,1125,2,60,4,6,10,6,10,6,f,flexible,f,f,0.65
2487,150,N/A,N/A,1,f,1,f,-33.94231858,151.2154736,House,Entire home/apt,4,1,2,2,Real Bed,150,158,3,25,2,1125,2,80,9,6,9,9,9,7,f,strict_14_with_grace_period,f,f,0.14
2488,170,within an hour,1,1,f,2,f,-33.87756074,151.2168048,Condominium,Entire home/apt,2,1,1,1,Real Bed,150,90,1,0,4,60,66,93,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,1.01
2489,90,within an hour,1,0.97,f,6,t,-33.89162393,151.2020475,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,0,80,1,0,1,1125,59,95,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,1.8
2490,124,within a day,1,0.78,t,2,f,-33.84233102,151.2152491,Apartment,Entire home/apt,2,1,0,1,Real Bed,500,90,1,0,7,1125,14,99,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.35
2491,299,N/A,N/A,0.71,t,2,t,-33.92361719,151.2548472,House,Entire home/apt,4,1,2,3,Real Bed,700,150,3,50,3,1125,26,96,9,9,10,10,10,9,f,strict_14_with_grace_period,f,f,0.36
2492,103,N/A,N/A,N/A,f,2,t,-33.88250274,151.216954,Apartment,Entire home/apt,3,1,0,2,Pull-out Sofa,500,50,1,15,2,1125,41,88,9,9,10,10,10,9,f,moderate,f,f,0.91
2493,55,within an hour,1,0.86,f,2,f,-33.93275525,151.1462554,Apartment,Private room,2,1,1,0,Real Bed,,0,2,0,1,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2494,401,within an hour,1,0.94,f,1,f,-33.79753949,151.2716478,House,Entire home/apt,8,2,4,4,Real Bed,2000,215,6,25,3,1125,34,87,9,8,9,9,10,9,f,strict_14_with_grace_period,f,f,2.04
2495,120,N/A,N/A,N/A,f,1,f,-33.9417448,151.215152,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,6,1125,0,,,,,,,,t,flexible,f,f,
2496,132,within an hour,1,0.99,f,187,t,-33.89153752,151.2101199,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,135,2,0,3,1125,19,82,8,8,10,9,10,8,t,moderate,f,f,1.01
2497,200,N/A,N/A,N/A,f,1,t,-33.83084612,151.2213297,Apartment,Entire home/apt,2,1,2,2,Real Bed,300,80,1,0,3,1125,0,,,,,,,,t,flexible,f,f,
2498,90,within a day,1,0.81,f,3,f,-33.87308479,151.1971146,Apartment,Private room,2,1,1,2,Real Bed,300,120,1,50,3,30,1,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.25
2499,102,N/A,N/A,N/A,f,1,f,-33.78085937,151.240249,House,Entire home/apt,3,1,2,2,Real Bed,,,1,0,2,6,1,100,10,10,10,10,10,10,t,flexible,f,f,0.03
2500,199,within an hour,1,1,t,2,f,-33.88323248,151.1977982,Apartment,Entire home/apt,6,1,2,4,Real Bed,500,70,4,30,1,30,41,93,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,5.69
2501,120,N/A,N/A,N/A,f,1,f,-33.83750608,151.2048686,Apartment,Entire home/apt,2,1,0,1,Real Bed,,,1,0,1,1125,2,100,8,9,9,9,10,9,t,flexible,f,f,0.05
2502,44,within a few hours,1,1,f,0,f,-33.90835747,151.2209385,Apartment,Private room,1,1,1,2,Real Bed,,10,1,0,3,31,1,100,8,6,10,10,10,10,t,flexible,f,f,0.51
2503,351,N/A,N/A,N/A,f,1,f,-33.89804284,151.2616775,Apartment,Entire home/apt,4,1,2,2,Real Bed,,,1,0,7,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2504,126,within a few hours,0.87,0.93,f,139,t,-33.88264261,151.1565471,Apartment,Entire home/apt,2,1,1,1,Real Bed,800,242,1,0,31,1125,2,80,8,9,8,10,10,10,t,strict_14_with_grace_period,f,f,0.05
2505,108,within an hour,1,1,f,0,f,-33.90161228,151.210241,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,2,0,2,1125,14,100,10,10,10,10,10,10,t,moderate,f,f,3.26
2506,70,within a day,0.6,1,f,1,f,-33.94459332,151.2521231,Apartment,Private room,2,1,1,2,Real Bed,,,1,0,5,1125,1,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,0.39
2507,69,N/A,N/A,N/A,f,13,f,-33.92310856,151.2253584,House,Private room,1,1,4,1,Real Bed,0,20,1,30,1,1125,1,20,4,2,8,8,8,4,t,strict_14_with_grace_period,f,f,0.04
2508,48,N/A,N/A,N/A,f,1,f,-33.91166295,151.2593921,Apartment,Private room,1,1,1,1,Real Bed,,,1,0,7,20,0,,,,,,,,t,flexible,f,f,
2509,195,N/A,N/A,0.5,f,1,f,-33.88895313,151.2615498,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,90,1,0,3,45,2,100,10,10,10,10,10,8,f,strict_14_with_grace_period,f,f,0.14
2510,100,within an hour,1,0.98,f,0,f,-33.88444932,151.1834571,Apartment,Entire home/apt,5,2,3,4,Real Bed,0,60,1,0,2,1125,4,85,10,10,10,10,10,9,t,flexible,f,f,2.35
2511,87,within an hour,1,0.96,f,11,f,-33.91611037,151.2200176,House,Private room,2,1,1,2,Real Bed,0,30,1,15,2,1125,1,100,10,10,10,10,8,10,t,flexible,f,f,0.86
2512,150,within an hour,1,0.93,f,38,f,-33.86566436,151.2083498,Apartment,Entire home/apt,2,1,0,1,Real Bed,0,250,1,0,4,1125,1,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1
2513,150,N/A,N/A,N/A,f,0,t,-34.051699,151.1543122,Apartment,Entire home/apt,4,1,2,2,Real Bed,,200,1,0,5,14,0,,,,,,,,t,strict_14_with_grace_period,f,f,
2514,116,within a few hours,1,0.83,f,0,f,-33.90623304,151.1312405,Apartment,Entire home/apt,4,2,2,2,Real Bed,,,1,0,7,1125,0,,,,,,,,f,flexible,f,f,
2515,179,within a few hours,1,0,f,2,t,-33.89867503,151.2062547,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,50,1,0,3,14,1,100,10,10,10,10,10,8,f,strict_14_with_grace_period,f,f,0.07
2516,150,N/A,N/A,N/A,f,1,t,-33.91880323,151.2601413,Apartment,Entire home/apt,2,1,2,1,Real Bed,1000,80,1,0,5,1125,8,95,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,0.11
2517,124,N/A,N/A,1,f,1,t,-33.88825097,151.2826607,Apartment,Private room,2,1,1,1,Real Bed,,75,1,0,2,1125,2,100,10,10,10,10,10,10,t,moderate,f,f,0.54
2518,401,within a day,1,0.5,f,1,f,-33.74730479,151.2166473,House,Entire home/apt,8,4.5,4,4,Real Bed,500,120,4,50,5,1125,1,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.75
2519,234,N/A,N/A,N/A,f,1,t,-33.92097766,151.2490986,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,80,1,0,7,14,2,80,10,10,10,10,8,10,t,strict_14_with_grace_period,f,f,0.03
2520,279,N/A,N/A,N/A,f,1,t,-33.89809421,151.1842805,House,Entire home/apt,4,1,2,2,Real Bed,500,120,1,0,2,1125,32,97,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,0.65
2521,69,N/A,N/A,0,f,7,f,-33.87201826,151.089761,House,Private room,2,1.5,1,2,Real Bed,200,0,1,25,1,1125,2,100,10,10,10,10,10,10,f,moderate,f,f,0.11
2522,105,N/A,N/A,0.99,t,6,f,-33.79114529,151.2859824,Townhouse,Private room,2,1.5,1,1,Real Bed,250,0,1,25,1,60,111,96,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,2.09
2523,100,N/A,N/A,N/A,f,1,t,-33.90120875,151.1712228,House,Private room,2,2,1,1,Real Bed,,,1,0,1,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2524,120,N/A,N/A,N/A,f,1,t,-33.88197971,151.1875862,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,40,1,0,1,1125,32,100,10,10,10,10,10,10,t,flexible,f,f,1.17
2525,110,N/A,N/A,N/A,f,1,t,-33.85801022,151.1862193,Apartment,Entire home/apt,3,1,0,2,Real Bed,,,1,0,1,1125,0,,,,,,,,f,flexible,f,f,
2526,50,within an hour,1,1,f,0,f,-33.9102746,151.1483574,House,Private room,1,1,1,1,Real Bed,0,40,1,0,2,1125,7,94,9,9,10,9,9,9,f,flexible,f,f,1.07
2527,105,N/A,N/A,1,f,1,f,-33.92323531,151.1848949,Apartment,Private room,2,1.5,2,4,Real Bed,,,1,0,1,30,1,,,,,,,,t,flexible,f,f,0.24
2528,90,N/A,N/A,N/A,f,1,t,-33.8917017,151.2666731,Apartment,Private room,1,1,1,1,Real Bed,,,1,0,10,1125,5,100,10,10,10,10,10,10,t,flexible,f,f,0.2
2529,136,N/A,N/A,N/A,f,1,t,-33.88872262,151.2546248,Apartment,Private room,2,1,1,1,Real Bed,200,25,1,35,4,1125,0,,,,,,,,f,strict_14_with_grace_period,f,f,
2530,120,N/A,N/A,N/A,f,1,t,-33.8773446,151.2372003,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,3,7,5,93,9,9,9,10,10,9,f,strict_14_with_grace_period,f,f,0.13
2531,125,within a day,0.67,N/A,f,1,f,-33.77909751,151.1616133,House,Private room,3,2.5,2,2,Real Bed,,,1,0,2,7,0,,,,,,,,f,flexible,f,f,
2532,81,N/A,N/A,N/A,f,0,f,-33.78011553,151.2873405,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,5,1125,0,,,,,,,,t,flexible,f,f,
2533,150,N/A,N/A,0.75,f,1,f,-33.89194645,151.2730146,Apartment,Entire home/apt,2,1,1,1,Real Bed,,50,1,0,2,14,1,60,4,6,10,10,10,6,t,flexible,f,f,0.2
2534,321,N/A,N/A,N/A,f,1,f,-33.94326082,151.2254792,Apartment,Entire home/apt,3,1,1,0,Real Bed,750,100,3,50,5,7,0,,,,,,,,f,moderate,f,f,
2535,150,within an hour,1,0.97,f,1,f,-33.84968942,151.0750599,Apartment,Entire home/apt,3,1,1,1,Real Bed,800,50,2,15,1,1125,79,94,10,10,9,10,10,10,f,strict_14_with_grace_period,f,f,6.22
2536,110,N/A,N/A,N/A,f,1,t,-33.87223167,151.1984832,Apartment,Private room,2,2,1,1,Real Bed,1000,40,2,30,2,60,6,83,9,8,9,9,10,9,f,strict_14_with_grace_period,f,f,0.18
2537,250,within a few hours,1,1,f,1,t,-33.87352076,151.1857851,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,85,2,30,1,21,24,98,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.58
2538,55,N/A,N/A,N/A,f,1,t,-33.8851155,151.2149289,House,Private room,2,1,1,1,Real Bed,300,25,1,25,1,1125,8,93,9,8,10,10,10,9,f,strict_14_with_grace_period,f,f,0.16
2539,110,N/A,N/A,N/A,f,1,t,-33.87923877,151.2149956,Apartment,Private room,2,2,1,1,Real Bed,200,,1,0,2,1125,1,100,10,10,10,10,10,10,f,flexible,f,f,0.02
2540,147,within an hour,1,1,f,1,f,-33.92177164,151.0986972,Apartment,Private room,2,1.5,1,1,Real Bed,0,,2,20,2,1125,3,100,10,10,10,10,10,10,t,flexible,f,f,0.83
2541,124,N/A,N/A,N/A,f,1,t,-33.8732064,151.2400398,Apartment,Private room,2,1,1,1,Real Bed,,35,1,0,3,1125,175,94,9,8,10,10,10,9,f,strict_14_with_grace_period,f,f,1.99
2542,124,within an hour,1,0.94,f,2,t,-33.90567495,151.134184,Townhouse,Entire home/apt,5,1,2,3,Real Bed,200,50,2,7,1,1125,94,93,10,10,10,10,10,10,f,flexible,f,f,2.73
2543,251,within an hour,1,0.98,t,1,f,-33.63485561,151.2911522,Boat,Entire home/apt,2,2,1,2,Real Bed,,80,1,0,1,1,28,99,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,2.64
2544,141,within a few hours,1,1,f,4,t,-33.87595978,151.274084,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,50,1,0,5,1125,4,90,10,9,10,9,9,10,f,strict_14_with_grace_period,f,f,0.08
2545,99,within an hour,0.75,0.73,f,1,f,-33.75618464,151.2967036,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,120,1,0,7,84,3,100,9,10,10,10,10,9,f,strict_14_with_grace_period,f,f,0.36
2546,179,within an hour,1,1,f,5,f,-33.88289708,151.1963278,Serviced apartment,Hotel room,3,1,1,2,Real Bed,200,0,2,50,1,1125,5,100,10,10,10,10,10,10,t,flexible,f,f,0.3
2547,499,within a few hours,1,0.81,f,1,t,-33.89832175,151.2743161,Apartment,Entire home/apt,6,2,3,4,Real Bed,2000,300,1,0,2,100,94,98,10,9,10,10,10,9,f,strict_14_with_grace_period,f,f,1.35
2548,500,within an hour,1,1,f,1,f,-33.64980746,151.3170913,Treehouse,Entire home/apt,2,1,1,1,Real Bed,,,1,0,2,1125,3,93,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,1.11
2549,60,within an hour,1,0.96,f,1,f,-33.93375243,151.1569111,Apartment,Private room,2,1.5,1,1,Real Bed,,10,1,10,1,30,17,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1.29
2550,251,within a day,1,N/A,f,1,t,-33.86041873,151.2806334,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,70,1,0,21,90,5,92,8,10,9,10,9,9,f,strict_14_with_grace_period,f,f,0.07
2551,100,N/A,N/A,1,f,1,t,-33.8901778,151.2552199,Apartment,Entire home/apt,3,1,1,1,Real Bed,,,1,0,3,1125,2,90,10,10,10,10,10,9,t,flexible,f,f,0.22
2552,351,N/A,N/A,1,f,0,t,-33.89150433,151.2634335,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,50,1,0,4,17,1,100,10,10,10,10,10,10,f,flexible,f,f,0.41
2553,34,within an hour,1,0,f,1,t,-33.74041513,151.1345851,House,Private room,2,2,1,1,Real Bed,,,1,15,2,100,8,93,10,9,10,10,8,10,t,moderate,f,f,0.19
2554,108,N/A,N/A,N/A,f,1,f,-33.94429183,151.2574408,Apartment,Entire home/apt,4,1,2,2,Real Bed,700,100,1,0,3,1125,4,93,10,10,8,8,10,10,t,strict_14_with_grace_period,f,f,0.19
2555,177,N/A,N/A,N/A,f,1,f,-33.97647986,151.244837,Apartment,Entire home/apt,6,2,2,4,Real Bed,500,75,2,15,5,60,19,96,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,0.22
2556,279,within an hour,1,1,f,1,f,-33.83830686,151.1975627,Apartment,Entire home/apt,5,2,2,2,Real Bed,0,50,1,0,2,28,8,87,9,9,10,10,10,9,t,moderate,f,f,3.16
2557,41,within an hour,1,0.96,f,2,f,-33.72740251,151.0851381,House,Private room,2,1,1,1,Real Bed,0,0,1,20,4,90,7,97,10,10,10,10,9,10,t,flexible,f,f,0.81
2558,150,within an hour,0.78,0.84,f,1,f,-33.87924055,151.2133156,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,100,1,0,3,30,3,100,9,9,9,9,9,9,t,strict_14_with_grace_period,f,f,1.22
2559,120,N/A,N/A,N/A,f,1,t,-33.78325621,151.2832346,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,60,1,0,10,33,0,,,,,,,,f,moderate,f,f,
2560,120,within an hour,1,1,t,1,f,-33.9484034,151.0503571,Guest suite,Entire home/apt,8,2,4,6,Real Bed,,100,4,35,2,1125,93,96,10,10,10,10,9,9,t,moderate,f,f,3.4
2561,120,N/A,N/A,N/A,f,1,f,-33.87704255,151.2199407,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,1,28,8,100,10,10,10,10,10,10,t,flexible,f,f,0.24
2562,48,N/A,N/A,1,f,1,f,-33.88391816,151.2813462,Apartment,Private room,2,1,1,1,Real Bed,200,20,1,0,1,30,1,,,,,,,,f,strict_14_with_grace_period,f,f,0.28
2563,36,within an hour,1,0.93,f,3,f,-33.9139745,151.2396308,House,Private room,1,0,1,1,Real Bed,,40,1,0,2,1125,5,88,8,8,8,9,9,8,t,moderate,f,f,0.43
2564,120,within an hour,1,1,t,3,f,-33.87237369,151.2243033,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,70,1,10,1,30,36,99,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,6.07
2565,69,N/A,N/A,N/A,f,2,f,-33.87184775,151.2195397,Apartment,Private room,2,1,1,1,Real Bed,0,25,1,0,3,1125,1,60,10,2,10,10,10,6,t,flexible,f,f,0.07
2566,69,within an hour,1,1,f,1,f,-33.96788851,151.105149,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,1,1125,10,90,10,9,10,10,10,9,f,flexible,f,f,3.57
2567,120,N/A,N/A,N/A,f,1,f,-33.88059122,151.216259,Apartment,Entire home/apt,2,2,1,1,Real Bed,,50,1,0,4,1125,1,80,8,6,8,10,10,8,f,moderate,f,f,0.02
2568,102,within an hour,1,0.96,t,11,f,-33.86958823,151.223043,Apartment,Private room,2,1.5,1,1,Real Bed,350,50,1,40,3,1125,35,99,10,10,10,10,10,10,f,moderate,f,f,3.66
2569,74,N/A,N/A,1,f,0,f,-33.7980692,151.2805803,Guesthouse,Private room,2,2,1,2,Real Bed,,80,1,0,2,1125,1,100,10,10,10,10,10,10,t,flexible,f,f,0.17
2570,42,within an hour,1,0.56,f,1,f,-33.79725146,151.1788132,Apartment,Private room,2,2,1,1,Real Bed,,,1,0,3,120,1,100,10,8,6,10,10,10,f,flexible,f,f,0.38
2571,124,within an hour,1,0.93,t,6,t,-33.88529053,151.214345,Townhouse,Private room,2,1,1,1,Real Bed,,140,6,50,1,1125,1,100,,10,,10,,,f,moderate,f,f,0.02
2572,199,within an hour,0.95,1,f,15,f,-33.84873792,151.0737702,Apartment,Entire home/apt,5,2.5,2,5,Real Bed,200,69,5,25,1,1125,47,85,9,8,9,9,10,9,t,strict_14_with_grace_period,f,f,5.69
2573,115,N/A,N/A,0.33,f,1,f,-34.01685356,151.1089862,House,Entire home/apt,5,2,3,4,Real Bed,,,1,0,6,1125,1,,,,,,,,t,flexible,f,f,0.09
2574,120,N/A,N/A,N/A,f,1,f,-33.88410019,151.2143043,House,Private room,2,2.5,1,1,Real Bed,,80,1,0,1,1125,1,100,10,10,10,2,6,8,f,moderate,f,f,0.02
2575,301,N/A,N/A,N/A,f,1,t,-33.85966054,151.1794976,House,Entire home/apt,4,2,2,2,Real Bed,,50,1,0,2,1125,9,100,10,10,10,10,10,10,t,moderate,f,f,0.25
2576,90,within an hour,0.97,0.99,f,9,t,-33.87357712,151.2253031,Apartment,Entire home/apt,2,1,0,1,Real Bed,500,99,1,0,1,1125,62,92,10,9,9,10,10,9,f,strict_14_with_grace_period,f,f,2
2577,73,N/A,N/A,N/A,f,1,f,-33.89905482,151.1906685,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,1,1125,0,,,,,,,,f,moderate,f,f,
2578,120,N/A,N/A,N/A,f,1,t,-33.91598997,151.2464665,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,55,1,0,4,1124,3,90,10,8,10,10,10,9,t,strict_14_with_grace_period,f,f,0.07
2579,150,N/A,N/A,0.33,f,1,t,-33.83428871,151.1274107,Apartment,Entire home/apt,2,1,1,1,Real Bed,,100,1,0,2,5,0,,,,,,,,t,strict_14_with_grace_period,f,f,
2580,99,within a few hours,1,0.91,f,1,f,-33.78080838,151.1124009,Apartment,Private room,2,1,1,1,Real Bed,,30,1,0,1,1125,12,92,9,9,9,9,9,9,t,flexible,f,f,0.45
2581,60,N/A,N/A,N/A,f,1,t,-33.88511848,151.2833832,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,1,50,0,,,,,,,,f,flexible,f,f,
2582,160,N/A,N/A,N/A,f,1,t,-33.78651261,151.289731,Apartment,Entire home/apt,2,1,1,1,Real Bed,,45,1,0,4,9,0,,,,,,,,f,moderate,f,f,
2583,179,within a few hours,1,0.5,f,1,t,-33.91222723,151.2212662,Apartment,Entire home/apt,4,1,2,2,Real Bed,,,1,0,3,1125,0,,,,,,,,f,moderate,f,f,
2584,120,within an hour,1,1,t,10,f,-33.88786349,151.2003527,Apartment,Entire home/apt,2,1,0,1,Real Bed,300,0,1,0,5,1125,43,99,10,10,10,10,10,10,t,moderate,f,f,2.89
2585,116,within an hour,1,0.95,f,1,f,-33.79145469,151.2587334,House,Entire home/apt,2,1,1,1,Real Bed,0,20,2,0,2,30,52,96,10,10,10,10,10,9,f,moderate,f,f,0.72
2586,150,within an hour,1,1,t,4,t,-33.88293483,151.1804801,Townhouse,Entire home/apt,6,1,2,3,Real Bed,500,110,2,35,2,1125,2,90,10,10,10,10,9,9,t,moderate,f,f,1.3
2587,150,N/A,N/A,N/A,f,2,t,-33.89300068,151.2669665,Apartment,Entire home/apt,2,1,1,1,Real Bed,,,1,0,7,1125,1,100,10,10,10,10,10,8,f,flexible,f,f,0.02
2588,120,N/A,N/A,0.5,f,0,t,-33.89772602,151.1461008,Apartment,Entire home/apt,3,1,1,2,Real Bed,0,50,2,15,5,1125,1,100,10,10,10,10,10,10,f,flexible,f,f,0.37
2589,200,within a day,0.5,0,f,1,t,-33.89548454,151.2737857,Apartment,Entire home/apt,4,1,1,1,Real Bed,,,1,0,3,1125,0,,,,,,,,f,flexible,f,f,
2590,132,within an hour,1,0.99,f,35,f,-33.7713589,151.0750967,Apartment,Entire home/apt,5,2,2,2,Real Bed,300,150,1,0,1,1125,28,91,9,9,10,10,9,9,t,strict_14_with_grace_period,f,f,1.7
2591,170,N/A,N/A,0.91,f,2,f,-33.85759995,151.194624,Apartment,Entire home/apt,4,1,2,2,Real Bed,150,170,4,0,2,1125,35,94,10,9,9,10,10,9,f,moderate,f,f,2.03
2592,78,N/A,N/A,N/A,f,1,f,-33.90637151,151.2099253,Apartment,Private room,2,1.5,1,1,Real Bed,200,39,2,10,5,60,2,80,8,7,9,9,8,7,t,strict_14_with_grace_period,f,f,0.12
2593,284,N/A,N/A,N/A,f,1,f,-33.88113597,151.18222,House,Entire home/apt,7,1.5,3,4,Real Bed,0,150,1,50,5,1125,0,,,,,,,,f,flexible,f,f,
2594,74,N/A,N/A,1,f,12,f,-33.92319714,151.2269766,Apartment,Entire home/apt,4,1,1,3,Real Bed,200,60,2,30,2,1125,2,80,7,9,10,10,10,9,t,flexible,f,f,0.13
2595,99,within a few hours,1,1,t,1,t,-33.63592249,151.3232611,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,45,2,10,2,1125,60,93,9,9,9,10,9,9,f,moderate,f,f,1
